priority,app_id,name,kind,category,shader,shader_exists,pubspec_declared,uniform_time_declared,time_code_refs,animation_class_guess,registry_status,registry_resolution
1,buddhabrot_full,Buddhabrot Full,escape_time,Escape-Time,shaders/escape_time_family/families/buddhabrot/buddhabrot_full_gpu.frag,true,true,true,5,growth_process/time_parametric,alias,f1142_buddhabrot
1,fractal_flame,Fractal Flame,escape_time,IFS / Geometric Fractals,shaders/escape_time_family/geometry_and_ifs/fractal_flame_gpu.frag,true,true,true,3,time_parametric_sampling,exact,fractal_flame
1,gray_scott_rd,Gray Scott Rd,escape_time,Escape-Time,shaders/cellular_and_stochastic/gray_scott_rd_gpu.frag,true,true,true,3,time_parametric_sampling,exact,gray_scott_rd
1,lichtenberg_growth,Lichtenberg Growth,escape_time,Cellular & Stochastic Growth,shaders/cellular_and_stochastic/lichtenberg_growth_gpu.frag,true,true,true,3,growth_process/time_parametric,exact,lichtenberg_growth
1,magnetic_pendulum,Magnetic Pendulum,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/physical_simulation/magnetic_pendulum_gpu.frag,true,true,true,1,growth_process/time_parametric,exact,magnetic_pendulum
1,mandelbulb_time_modulated,Time-Modulated Mandelbulb,raymarched_3d,3D Fractals,shaders/3d_and_hypercomplex/raymarched_volumes/mandelbulb_time_modulated_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,mandelbulb_time_modulated
2,dielectric_breakdown,Dielectric Breakdown,escape_time,Cellular & Stochastic Growth,shaders/cellular_and_stochastic/dielectric_breakdown_gpu.frag,true,true,true,3,growth_process/time_parametric,exact,dielectric_breakdown
2,inversive_limit_set_3d,Inversive Limit Set 3D,raymarched_3d,3D Fractals,shaders/ifs_and_geometric/raymarched_3d/inversive_limit_set_3d_gpu.frag,true,true,true,1,growth_process/time_parametric,exact,inversive_limit_set_3d
3,3d_fractal,3D Fractal,escape_time,Escape-Time,shaders/3d_and_hypercomplex/raymarched_volumes/3d_fractal_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,3d_fractal
3,aizawa,Aizawa Attractor,escape_time,Escape-Time,shaders/strange_attractors/aizawa_gpu.frag,true,true,true,3,time_parametric_sampling,exact,aizawa
3,alternated_iteration,Alternated Iteration,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/coupled_orbits/alternated_iteration_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,ammann_beenker,Ammann-Beenker Tiling,escape_time,Escape-Time,shaders/ifs_and_geometric/ammann_beenker_gpu.frag,true,true,true,2,color_time_parametric,exact,ammann_beenker
3,angrybrot,Angrybrot,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/iterative_maps/angrybrot_gpu.frag,true,true,true,2,color_time_parametric,exact,angrybrot
3,anti_buddhabrot,Anti-Buddhabrot,escape_time,Escape-Time,shaders/escape_time_family/families/buddhabrot/anti_buddhabrot_gpu.frag,true,true,true,1,growth_process/time_parametric,exact,anti_buddhabrot
3,apollonian_gasket,Apollonian Gasket,escape_time,Escape-Time,shaders/ifs_and_geometric/apollonian_gasket_gpu.frag,true,true,true,2,color_time_parametric,exact,apollonian_gasket
3,arneodo,Arneodo Attractor,escape_time,Escape-Time,shaders/strange_attractors/arneodo_gpu.frag,true,true,true,3,color_time_parametric,exact,arneodo
3,arnold_cat,,escape_time,Escape-Time,shaders/strange_attractors/arnold_cat_gpu.frag,true,true,true,1,color_time_parametric,exact,arnold_cat
3,astroid,Astroid Fractal,escape_time,Escape-Time,shaders/escape_time_family/polynomial_maps/astroid_gpu.frag,true,true,true,1,color_time_parametric,exact,astroid
3,barnsley_fern,Barnsley Fern,escape_time,Escape-Time,shaders/ifs_and_geometric/barnsley_fern_gpu.frag,true,true,true,1,color_time_parametric,exact,barnsley_fern
3,barnsley_j1,Barnsley J1 Relief,escape_time,Escape-Time,shaders/ifs_and_geometric/barnsley_j1_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,barnsley_j1
3,barnsley_j2,Barnsley J2,escape_time,Escape-Time,shaders/ifs_and_geometric/barnsley_j2_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,barnsley_j2
3,barnsley_j3,Barnsley J3,escape_time,Escape-Time,shaders/ifs_and_geometric/barnsley_j3_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,barnsley_j3
3,bedhead,Bedhead,escape_time,Escape-Time,shaders/escape_time_family/experimental_named/discrete_attractors/bedhead_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,benesi,Benesi Fractal,escape_time,Escape-Time,shaders/escape_time_family/polynomial_maps/benesi_gpu.frag,true,true,true,3,color_time_parametric,exact,benesi
3,bicomplex,Bicomplex Mandelbrot,escape_time,Escape-Time,shaders/3d_and_hypercomplex/hypercomplex_escape_time/bicomplex_gpu.frag,true,true,true,4,color_time_parametric,exact,bicomplex
3,biomorph,Biomorph,escape_time,Escape-Time,shaders/escape_time_family/julia_variants/biomorph_gpu.frag,true,true,true,2,color_time_parametric,exact,biomorph
3,blaschke,Blaschke Product,escape_time,Escape-Time,shaders/escape_time_family/transcendental_maps/blaschke_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,blaschke
3,bogdanov_map,Bogdanov Map,escape_time,Escape-Time,shaders/strange_attractors/bogdanov_map_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,bouali,Bouali Attractor,escape_time,Escape-Time,shaders/strange_attractors/bouali_gpu.frag,true,true,true,3,color_time_parametric,exact,bouali
3,brian_brain,,escape_time,Escape-Time,shaders/cellular_and_stochastic/brian_brain_gpu.frag,true,true,true,1,time_parametric_sampling,exact,brian_brain
3,buffalo,Buffalo,escape_time,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo_gpu.frag,true,true,true,2,color_time_parametric,exact,buffalo
3,buffalo2,Buffalo2,escape_time,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo2_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,missing,
3,buffalo_cubic,Buffalo Cubic,escape_time,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo_cubic_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,buffalo_cubic
3,buffalo_cubic_julia,Buffalo Cubic Julia,escape_time,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo_cubic_julia_gpu.frag,true,true,true,2,color_time_parametric,exact,buffalo_cubic_julia
3,buffalo_julia,Buffalo Julia,escape_time,Escape-Time,shaders/escape_time_family/families/buffalo/buffalo_julia_gpu.frag,true,true,true,2,time_parametric_sampling,exact,buffalo_julia
