10.19184/jid.v23i1.17447	Construction of Three Branches Fractal Trees Using Iterated Function System
10.31390/gradschool_theses.4571	Fractal Shapes Generated by Iterated Function Systems
10.3390/fractalfract6120746	Fractals via Controlled Fisher Iterated Function System
10.3840/001675	Fractal Creation with Iterated Function Systems
10.4171/jfg/51	On the dimensions of attractors of random self-similar graph directed iterated function systems
10.3840/07001675	Fractal Creation with Iterated Function Systems
10.1016/j.cag.2009.05.003	Non-linear iterated function systems and the creation of fractal patterns over regular polygons
10.1201/9781003481096-4	Classical Iterated Function System
10.1117/3.353798.ch2	Iterated Function Systems
10.2139/ssrn.5118508	Machine Learning Driven Clustering for Efficient Segmentation of Fractal Patterns from Non Affine Iterated Function System
10.1109/icivc58118.2023.10270655	Fractal Image Encoding Based on Minimum Iterated Function System
10.1017/9781108778459.007	Iterated Function Systems
10.3390/fractalfract7120832	The Generalized Iterated Function System and Common Attractors of Generalized Hutchinson Operators in Dislocated Metric Spaces
10.4028/www.scientific.net/amr.694-697.2886	Application Study of Fractal Figures Based on Iterated Function System Algorithm
10.1109/itcc.2001.918789	Fractal image compression using iterated function system with probabilities
10.1109/icccnt.2012.6395995	Creation of fractal objects by using iterated function system
10.1016/s0019-3577(06)80024-8	A remark on densities of hyperbolic dimensions for conformal iterated function systems with applications to conformal dynamics and fractal number theory
10.1063/1.5136162	A new approach to find the multi-fractal dimension of multi-fuzzy fractal attractor sets based on the iterated function system
10.4028/www.scientific.net/amm.143-144.233	The Development of E-Learning System for Fractal Big Tree Graphics Based on Iterated Function System
10.1117/1.1870392	Intrinsic parallel random iteration algorithm for fractal image decoding based on iterated function system code
