	Texture image analysis and texture classification methods - A review
	Security Patterns: A Systematic Mapping Study
10.1002/hbm.70548	Improved Multiscale Structural Mapping with Supervertex Vision Transformer for the Detection of Alzheimer's Disease Neurodegeneration
10.13140/rg.2.2.33612.46722	A New Benchmark Dataset for Texture Image Analysis and Surface Defect Detection
	Make-A-Texture: Fast Shape-Aware Texture Generation in 3 Seconds
	Describing Textures using Natural Language
	Texture Synthesis Using Convolutional Neural Networks
10.46298/dmtcs.1344	Right-jumps and pattern avoiding permutations
	Enhancing Monocular 3D Hand Reconstruction with Learned Texture Priors
	FFHQ-UV: Normalized Facial UV-Texture Dataset for 3D Face Reconstruction
	A second-order theory of texture for depth from focus
	Evaluating Urbanization from Satellite and Aerial Images by means of a statistical approach to the texture analysis
10.1016/j.cam.2020.113354	New conformal map for the trapezoidal formula for infinite integrals of unilateral rapidly decreasing functions
10.1142/s0217979206034248	Quantum Kaleidoscopes and Bell's theorem
10.46298/dmtcs.12752	Pattern Avoidance for Fibonacci Sequences using $k$-Regular Words
10.1103/physrevd.92.025005	Confronting predictive texture zeros in lepton mass matrices with current data
	Computing boundary extensions of conformal maps part 2
	Kaleidoscopic Background Attack: Disrupting Pose Estimation with Multi-Fold Radial Symmetry Textures
	Finding Sequential Patterns from Large Sequence Data
	Cluster Haptic Texture Dataset: Haptic Texture Dataset with Varied Velocity-Direction Sliding Contacts
