10.1523/jneurosci.20-06-02315.2000	Spectral-Temporal Receptive Fields of Nonlinear Auditory Neurons Obtained Using Natural Sounds
10.1523/jneurosci.4445-03.2004	Linearity of Cortical Receptive Fields Measured with Natural Sounds
10.1109/taslp.2014.2367821	Inversion of auditory spectrograms, traditional spectrograms, and other envelope representations
10.1093/brain/123.12.2400	Identification of a pathway for intelligible speech in the left temporal lobe
10.1155/2008/872425	Extended Nonnegative Tensor Factorisation Models for Musical Sound Source Separation
10.1121/1.3672688	Passive geoacoustic inversion with a single hydrophone using broadband ship noise
10.26555/jiteki.v9i3.26374	Automated Detection of COVID-19 Cough Sound using Mel-Spectrogram Images and Convolutional Neural Network
10.1371/journal.pone.0001655	Efficient Temporal Processing of Naturalistic Sounds
10.1093/cercor/bhl124	Brain Mechanisms Implicated in the Preattentive Categorization of Speech Sounds Revealed Using fMRI and a Short-Interval Habituation Trial Paradigm
10.1121/1.3699247	Automated detection and localization of bowhead whale sounds in the presence of seismic airgun surveys
	Harmonic/Percussive Separation Using Median Filtering
10.1609/aaai.v38i1.27810	Music Style Transfer with Time-Varying Inversion of Diffusion Models
10.1186/s40317-015-0058-3	Sound production and associated behavior of tagged fin whales (Balaenoptera physalus) in the Southern California Bight
10.3389/fnhum.2016.00604	The Multivariate Temporal Response Function (mTRF) Toolbox: A MATLAB Toolbox for Relating Neural Signals to Continuous Stimuli
10.1371/journal.pone.0079028	Auditory Stimuli Mimicking Ambient Sounds Drive Temporal “Delta-Brushes” in Premature Infants
10.1109/icpr48806.2021.9413035	ESResNet: Environmental Sound Classification Based on Visual Domain Models
10.1121/1.5037359	Cataloging fish sounds in the wild using combined acoustic and video recordings
10.1371/journal.pone.0168167	Vocal Imitations of Non-Vocal Sounds
10.2478/aoa-2014-0048	Underwater Acoustic Imaging of the Sea
10.3354/esr00457	Sound production associated with reproductive behavior of Nassau grouper Epinephelus striatus at spawning aggregations
