	Fractal percolation on statistically self-affine carpets
10.1016/j.aim.2025.110549	Variational principles for Hausdorff and packing dimensions of fractal percolation on self-affine sponges
	Random-h Fractional-Dimensional Lattices Reveal Endpoint-Compressed Percolation Activation between Two and Three Dimensions
10.1016/j.physleta.2017.10.035	Percolation on infinitely ramified fractal networks
10.1103/physreve.54.4590	Percolation in random-Sierpiński carpets: A real space renormalization group approach
10.1007/bf00820345	Fractal porous media III: Transversal Stokes flow through random and Sierpinski carpets
10.1007/bf00192155	Fractal porous media I: Longitudinal stokes flow in random carpets
10.1016/s0378-4371(97)00090-3	PERCOLATION TRANSITION INTO RANDOM-SIERPINSKI-CARPETS
10.1016/j.jcp.2017.04.021	Fast finite element calculation of effective conductivity of random continuum microstructures: The recursive Poincaré-Steklov operator method
10.18523/2617-70806202328-34	Interpolation problems for random fields on Sierpinski’s carpet
10.1016/s0378-4371(00)00051-0	DC conductive percolation of 2-D fractal random network
	Lipschitz cutset for fractal graphs and applications to the spread of infections
10.1007/s00500-015-1874-3	Predicting agent-based financial time series model on lattice fractal with random Legendre neural network
10.1007/s11424-014-2073-5	Complex system analysis of market return percolation model on Sierpinski carpet lattice fractal
10.1007/s11424-014-2073-5	Complex system analysis of market return percolation model on Sierpinski carpet lattice fractal
10.1155/2012/735068	Statistical Behavior of a Financial Model by Lattice Fractal Sierpinski Carpet Percolation
10.2969/jmsj/05220373	Transition density estimates for diffusion processes on homogeneous random Sierpinski carpets
10.1016/b978-0-444-86912-8.50007-9	ON THE AGGREGATIVE FRACTALS CALLED “SQUIGS”, WHICH INCLUDE RECURSIVE MODELS OF POLYMERS AND OF PERCOLATION CLUSTERS
	THE BOX-COUNTING DIMENSION OF RANDOM BOX-LIKE SELF-AFFINE SETS
10.1512/iumj.2018.67.7295	The box dimension of random box-like self-affine sets
