10.4171/jfg/37	Fractal dual substitution tilings
10.1142/s0129054108006078	The finite tiling problem is undecidable in the hyperbolic plane
	Infinite families of monohedral disk tilings
10.3390/fractalfract2040026	Minkowski dimension and explicit tube formulas for $p$-adic fractal strings
	C*-algebras of Penrose's hyperbolic tilings
10.1016/s0034-4877(04)80007-7	Piecewise Deterministic Quantum Dynamics and Quantum Fractals on the Poincare Disk
	On the residual finiteness of outer automorphisms of relatively hyperbolic groups
	A fractal version of the pinwheel tiling
10.3847/2041-8205/830/2/l28	A New M Dwarf Debris Disk Candidate in a Young Moving Group Discovered with Disk Detective
	Secular Evolution of Disks
	Triangle Tiling V: Tilings by a tile with integer sides
	Hinged Truchet tiling fractals
	Fractal Tiling
10.3847/1538-4357/ab68e6	Peter Pan Disks: Long-lived Accretion Disks Around Young M Stars
10.3847/1538-4357/ac8156	Chandra Observations of Six Peter Pan Disks: Diversity of X-ray-driven Internal Photoevaporation Rates Doesn't Explain Their Rare Longevity
10.3847/1538-4357/aae3e3	Follow-up Imaging of Disk Candidates from the Disk Detective Citizen Science Project: New Discoveries and False-Positives in WISE Circumstellar Disk Surveys
	Combinatorics of a fractal tiling family
	Pair Correlation and Gap Distributions for Substitution Tilings and Generalized Ulam Sets in the Plane
	Fractals Generated by Modifying Aperiodic Substitution Tilings
10.1038/s41598-023-45962-y	Network efficiency of spatial systems with fractal morphology: a geometric graphs approach
